state_abbr,school,review_batch,sample_role,include_in_core_sample,comparability_class,lineage_risk,local_access_relevance,revision_note
CT,Miss Porter's School,B01,core,yes,girls_academy,low,low,Canonical elite girls' academy omitted from the first pass; keep in the core sample.
KS,Sumner Academy of Arts and Science,B02,core_with_caution,yes,historic_black_public_school,medium,high,Historically important Black public academic school with reorganized continuity; keep in the core sample with caution.
MA,Dana Hall School,B01,core,yes,girls_academy,low,low,Canonical elite girls' academy omitted from the first pass; keep in the core sample.
MO,Sumner High School,B02,core,yes,historic_black_public_school,low,high,Historically important Black public academic high school; core school for the accessible-local-talent question.
NY,Emma Willard School,B01,core,yes,girls_academy,low,low,Canonical elite girls' academy omitted from the first pass; keep in the core sample.
VA,Foxcroft School,B01,core,yes,girls_academy,low,low,Elite Virginia girls' school omitted from the first pass; keep in the core sample.
FL,Ransom Everglades School,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
GA,Westminster Schools,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
IL,University of Chicago Laboratory Schools,B03,robustness_only,no,special_institution,medium,low,Prestigious but atypical laboratory-school model; keep only in robustness checks.
MN,The Blake School,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
MN,Shattuck-St. Mary's School,B03,robustness_only,no,later_merger_lineage,high,low,Current institution uses predecessor roots from a later merger; exclude from the core treatment sample.
MO,Mary Institute and Saint Louis Country Day School (MICDS),B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
MO,Pembroke Hill School,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
NM,New Mexico Military Institute,B03,robustness_only,no,special_institution,low,medium,Public military and junior-college model is not directly comparable to ordinary elite high schools.
OR,Catlin Gabel School,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
SC,Porter-Gaud School,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
WI,University School of Milwaukee,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.
CT,Choate School / Choate Rosemary Hall,B03,robustness_only,no,later_merger_lineage,high,low,Current institution is a 1974 merger of two older schools; exclude from the core treatment sample unless predecessors are modeled separately.
