state,state_abbr,school,city,county_name,founding_year_used,roots_year,continuity_status,lineage_note,school_type,elite_signal,confidence,admission_model_current_prelim,access_model_current_prelim,access_model_historical_prelim,admissions_access_coding_status,county_geoid,lat_county,lon_county,admission_selectivity_current,test_based_admissions_current,poor_access_current,poor_access_historical,historical_access_note,historical_access_evidence_level,current_admissions_source_url,current_access_source_url,historical_access_source_url,lineage_risk,comparability_class,sample_role,include_in_core_sample,include_in_expanded_sample,proper_elite_school,elite_tier,local_access_relevance,revision_note,crit_secondary_school,crit_in_frame_1800_1940,crit_active_20yr,crit_first_decade_size_ge_50,crit_tuition_free_historical,crit_selective_historical,crit_not_special_model,crit_high_access_strict,historically_unclear,historically_unclear_note,review_batch,review_theme,review_priority,review_status
Connecticut,CT,Choate School / Choate Rosemary Hall,Wallingford,New Haven County,1896,1890,later_merger_use_roots,Use Choate School 1896 and Rosemary Hall 1890 roots; current institution is a 1974 merger,Private boarding and day school,Merged lineage of nationally elite boarding schools,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09009,41.4064322128234,-72.9343561823052,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a 1974 merger of two older schools; exclude from the core treatment sample unless predecessors are modeled separately.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Elite girls' academies and access coding,high,started_2026_04_30
Florida,FL,Ransom Everglades School,Coconut Grove,Miami-Dade County,1903,1903,later_merger_use_roots,Use Ransom School roots; current Ransom Everglades is a later merger,Private day college-prep school,Merged lineage of elite South Florida prep schools,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,12086,25.6110436200333,-80.5519536957601,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Merger-root continuity and county treatment interpretation,medium,queued
Georgia,GA,Westminster Schools,Atlanta,Fulton County,1888,1878,later_merger_use_roots,Use North Avenue Presbyterian School 1888 and Washington Seminary 1878 roots; current institution founded by merger in 1951,Private school,Merged lineage of elite Atlanta prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,13121,33.7917716997751,-84.4638437203173,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Merger-root continuity and county treatment interpretation,medium,queued
Illinois,IL,University of Chicago Laboratory Schools,Chicago,Cook County,1896,1896,continuous,Continuous school lineage from 1896,Private university-affiliated school,Pioneering and nationally prominent academic school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,17031,41.8409835312148,-87.8159048417931,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,medium,special_institution,robustness_only,no,yes,no,extended,low,Prestigious but atypical laboratory-school model; keep only in robustness checks.,no,yes,yes,unknown,no,no,no,no,yes,K-12 laboratory school of the University of Chicago Department of Education; serves UChicago faculty children disproportionately. Atypical model; recorded but excluded from default high-access.,B03,Special institutional models and false positives,medium,queued
Minnesota,MN,Shattuck-St. Mary's School,Faribault,Rice County,1858,1858,later_merger_use_roots,Use Shattuck and St. Mary's predecessor roots; current institution is a later merger,Private boarding and day school,Merged lineage of prominent Minnesota prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,27131,44.354299376633,-93.2965114174414,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution uses predecessor roots from a later merger; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,No targeted revision batch yet,low,first_pass_only
Minnesota,MN,The Blake School,Hopkins,Hennepin County,1900,1900,later_merger_use_roots,Use Blake predecessor roots; current institution is a later merger,Private school,Merged lineage of elite Twin Cities prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,27053,45.0050861687089,-93.4771410722228,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,No targeted revision batch yet,low,first_pass_only
Missouri,MO,Pembroke Hill School,Kansas City,Jackson County,1910,1910,later_merger_use_roots,Use predecessor roots from the Kansas City independent schools that later merged,Private school,Merged lineage of elite Kansas City prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,29095,39.009813003313,-94.3469402478327,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Historically important Black public-access schools and merger lineages,high,started_2026_04_30
New Mexico,NM,New Mexico Military Institute,Roswell,Chaves County,1891,1891,continuous,Continuous school from 1891,Public military high school and junior college,Historically prominent college-prep military school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,35005,33.366317226608,-104.463842624726,exam_plus,yes,medium,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://www.nmmi.edu/admissions/qualifications-for-admission/,https://www.nmmi.edu/admissions/financial-aid-scholarships/,,low,special_institution,robustness_only,no,yes,no,extended,medium,Public military and junior-college model is not directly comparable to ordinary elite high schools.,no,yes,yes,unknown,yes,no,no,no,yes,Combined public military high school and 2-year junior college. Atypical model; recorded but excluded from default high-access.,B03,Special institutional models and public-military access,medium,queued
Oregon,OR,Catlin Gabel School,Portland,Multnomah County,1884,1884,later_merger_use_roots,Use Catlin and Gabel predecessor roots; current institution is a later merger,Private school,Merged lineage of elite Portland prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,41051,45.5479775972792,-122.416953751752,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,No targeted revision batch yet,low,first_pass_only
South Carolina,SC,Porter-Gaud School,Charleston,Charleston County,1867,1867,later_merger_use_roots,Use Porter Military Academy and related predecessor roots; current institution is a later merger,Private school,Merged lineage of Charleston elite prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,45019,32.8239637288457,-79.9653226083502,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,No targeted revision batch yet,low,first_pass_only
Wisconsin,WI,University School of Milwaukee,Milwaukee,Milwaukee County,1851,1851,later_merger_use_roots,Use Milwaukee Academy and related predecessor roots; current institution is a later merger,Private school,Merged lineage of elite Milwaukee prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,55079,43.004738926882,-87.9672988669584,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,No targeted revision batch yet,low,first_pass_only
