state,school,city,founding_year_used,lineage_note,school_type,elite_signal,phase,source_1,source_2
"New York","Stuyvesant High School","New York City",1904,"Continuous school; 1992 move is not a refounding.","Public specialized exam school","SHSAT admissions; oldest NYC specialized high school; Nobel-producing alumni","pilot","https://en.wikipedia.org/wiki/Stuyvesant_High_School","https://talos.stuy.edu/cms/pages/stuyvesant-blog/read-caliper-magazine-online-stuys-literary-magazine-1904/"
"New York","Horace Mann School","The Bronx",1887,"Continuous from 1887; 1947 independence and later mergers did not create a new school.","Private day college-prep school","Historic NYC elite independent school","pilot","https://www.horacemann.org/our-school/a-long-tradition","https://en.wikipedia.org/wiki/Horace_Mann_School"
"New York","Regis High School","New York City",1914,"Gift pledged in 1912; school opened in 1914.","Private Jesuit merit-based day school","Tuition-free, merit-based, academically exceptional","pilot","https://www.regis.org/about/","https://www.regis.org/"
"New York","Brooklyn Technical High School","Brooklyn",1922,"Founded after the 1919 technical program at Manual Training; 1922 is the school creation date.","Public specialized exam STEM school","SHSAT admissions; original NYC specialized school","pilot","https://www.bths.edu/apps/pages/index.jsp?pREC_ID=503746&type=d&uREC_ID=262962","https://www.bths.edu/"
"Massachusetts","Groton School","Groton",1884,"Continuous institution; later coeducation is not a refounding.","Private boarding/day college-prep school","Historic national boarding school with selective admissions","pilot","https://www.groton.org/about/history","https://www.groton.org/about"
"Massachusetts","Noble and Greenough School","Dedham",1866,"Founded as Noble's Classical School; renamed in 1892 and moved in 1922.","Private day and 5-day boarding college-prep school","Historic Boston elite day school","pilot","https://www.nobles.edu/about/history/","https://www.nobles.edu/about/"
"Pennsylvania","Central High School","Philadelphia",1836,"Continuous public high school; later relocations are not refoundings.","Public university-preparatory magnet school","Top Philadelphia public school; BA-degree authority","pilot","https://centralhs.philasd.org/about-central-high-school/about-us-2/","https://centralhs.philasd.org/about-central-high-school/about-us/"
"Pennsylvania","The Haverford School","Haverford",1884,"Founded as Haverford College Grammar School; independent and renamed in 1903.","Private day college-prep school","Historic Main Line boys' school","pilot","https://www.haverford.org/about-us","https://www.haverford.org/haverford-at-a-glance-clone"
"Pennsylvania","Mercersburg Academy","Mercersburg",1893,"Current academy dates from 1893 reorganization; site and institutional roots extend to 1836.","Private boarding/day college-prep school","National boarding-school reputation","pilot","https://www.mercersburg.edu/about/school-history","https://www.mercersburg.edu/about"
"Connecticut","The Hotchkiss School","Lakeville",1891,"Continuous institution; later coeducation is not a refounding.","Private boarding/day college-prep school","Premier New England boarding school","expanded","https://www.hotchkiss.org/our-school/about/brief-history","https://www.hotchkiss.org/"
"Connecticut","The Taft School","Watertown",1890,"Founded as Mr. Taft's School in Pelham Manor; moved to Watertown in 1893; rename in 1898.","Private boarding/day college-prep school","Historic elite boarding school","expanded","https://www.taftschool.org/about/our-history","https://www.taftschool.org/about"
"Connecticut","Choate School / Choate Rosemary Hall","Wallingford",1896,"Use 1896 if tracing the Choate School; Rosemary Hall was founded in 1890 and merged with Choate in 1974.","Private boarding/day college-prep school","National boarding-school reputation","expanded","https://www.choate.edu/about/history","https://www.britannica.com/topic/Choate-Rosemary-Hall"
"New Jersey","The Lawrenceville School","Lawrenceville",1810,"Founded as Maidenhead Academy; renamed The Lawrenceville School in 1883.","Private boarding/day college-prep school","Historic nationally elite prep school","expanded","https://giving.lawrenceville.org/giving-societies","https://en.wikipedia.org/wiki/Lawrenceville_School"
"New Jersey","The Pingry School","Basking Ridge",1861,"Use 1861 for the Pingry School in Elizabeth; the earlier Roseville school is a related precursor, not the same continuous institution.","Private day college-prep school","Longstanding NJ independent school with honor code","expanded","https://www.pingry.org/fs/pages/2619","https://www.pingry.org/we-are-pingry/head-of-school"
"New Jersey","Blair Academy","Blairstown",1848,"Founded as Blair Presbyterial Academy; the modern name is a continuity case, not a new school.","Private boarding/day college-prep school","Historic NJ boarding school","expanded","https://www.blair.edu/about-blair/campus-community/founding-of-the-academy","https://www.blair.edu/support-blair/day-of-giving/about-founders-day"
"Maryland","Baltimore City College","Baltimore",1839,"Founded as The High School; later Central High School of Baltimore; current name adopted in 1866.","Public selective college-prep school","Exam school; one of the oldest US public high schools","expanded","https://www.baltimorecitycollege.us/history","https://en.wikipedia.org/wiki/Baltimore_City_College"
"Maryland","Baltimore Polytechnic Institute","Baltimore",1883,"Founded as Baltimore Manual Training School; renamed Baltimore Polytechnic Institute in the 1890s.","Public selective STEM school","Historic engineering/STEM magnet","expanded","https://bpi.edu/history.jsp","https://www.bpi.edu/"
"Maryland","Gilman School","Baltimore",1897,"Continuous institution since founding.","Private day school","Historic Baltimore elite boys' school","expanded","https://www.gilman.edu/about","https://www.gilman.edu/"
"Maryland","McDonogh School","Owings Mills",1873,"Founded as a farm and boarding school for poor boys; later added pay students, day students, and then coeducation.","Private day school with upper-school boarding","Historic Baltimore-area college-prep school","expanded","https://www.mcdonogh.org/about/history","https://www.mcdonogh.org/about"
"Virginia","Episcopal High School","Alexandria",1839,"Continuous institution; Civil War closure did not create a new school on reopening.","Private boarding college-prep school","Historic Southern boarding school","expanded","https://en.wikipedia.org/wiki/Episcopal_High_School_%28Alexandria%2C_Virginia%29",""
"Virginia","Woodberry Forest School","Woodberry Forest",1889,"Continuous institution founded on the Walker family farm.","Private all-boys boarding school","Historic Southern boarding school","expanded","https://www.woodberry.org/about/history-and-mission","https://en.wikipedia.org/wiki/Woodberry_Forest_School"
"Illinois","University of Chicago Laboratory Schools","Chicago",1896,"Continuous school lineage from Dewey's laboratory school; secondary grades were added soon after founding.","Private university-affiliated school","Pioneering, rigorous university-affiliated school","expanded","https://www.ucls.uchicago.edu/about-lab/history","https://www.ucls.uchicago.edu/about-lab"
"Illinois","Latin School of Chicago","Chicago",1888,"Continuous institution since founding.","Private day college-prep school","Longstanding Chicago independent school","expanded","https://www.latinschool.org/about-us","https://www.latinschool.org/"
"Illinois","Lane Tech College Prep","Chicago",1908,"Founded as Albert Grannis Lane Manual Training High School; later broadened into a college-prep selective-enrollment model.","Public selective-enrollment college-prep school","Selective Chicago public school with long academic reputation","expanded","https://lanetech.org/about/history/","https://lanetech.org/oh/views/about.html"
