batch_id,state,state_abbr,school,city,proposed_action,merge_status,frame_status,founding_year_candidate,priority,reason,source_url,review_status
B01,Connecticut,CT,Miss Porter's School,Farmington,add_to_main,confirmed_ready,in_frame_1800_1930,1843,high,Historically important elite girls' school omitted from first pass.,https://www.porters.org/,merged_into_revision_additions
B01,Massachusetts,MA,Dana Hall School,Wellesley,add_to_main,confirmed_ready,in_frame_1800_1930,1881,high,Historically important elite girls' school omitted from first pass.,https://www.danahall.org/about/mission-and-values,merged_into_revision_additions
B01,Massachusetts,MA,Boston Latin School,Boston,add_to_main,confirmed_ready,in_frame_pre1800_continuity,1635,high,"Continuously elite since 1635; included so its county (Suffolk MA) drops from the panel via the min_pre filter rather than serving as a contaminated control.",https://www.bostonpublicschools.org/schools-container/school-profile/boston-latin-school,merged_into_revision_additions
B01,New York,NY,Emma Willard School,Troy,add_to_main,confirmed_ready,in_frame_1800_1930,1814,high,Historically important elite girls' school omitted from first pass.,https://www.emmawillard.org/about,merged_into_revision_additions
B01,Virginia,VA,Foxcroft School,Middleburg,add_to_main,confirmed_ready,in_frame_1800_1930,1914,medium,Historically important elite Virginia girls' school omitted from first pass.,https://www.foxcroft.org/about/history,merged_into_revision_additions
B02,Kansas,KS,Sumner Academy of Arts and Science,Kansas City,add_to_main,confirmed_ready,in_frame_1800_1930,1905,high,Historically important Black public academic high school omitted from first pass.,https://sumner.kckschools.org/about/our-school,merged_into_revision_additions
B02,Missouri,MO,Sumner High School,St. Louis,add_to_main,confirmed_ready,in_frame_1800_1930,1875,high,Historically important Black public academic high school relevant to the local-talent question.,https://sumner.slps.org/,merged_into_revision_additions
B02,District of Columbia,DC,Paul Laurence Dunbar High School,Washington,add_to_main,confirmed_ready,in_frame_1800_1930,1870,high,Historically central Black academic high school; DC included in the panel via STATEFP=11.,,merged_into_revision_additions
B02,District of Columbia,DC,M Street High School,Washington,benchmark_nonstate,do_not_merge,nonstate_jurisdiction,1870,high,Predecessor to Dunbar and important benchmark for the broader historical mechanism.,,queued_boundary_note
B03,Illinois,IL,University of Chicago Laboratory Schools,Chicago,review_existing,needs_design_decision,in_frame_1800_1930,1896,medium,Prestigious but institutionally atypical lab-school model may not fit the core causal sample.,,queued
B03,New Mexico,NM,New Mexico Military Institute,Roswell,review_existing,needs_design_decision,in_frame_1800_1930,1891,medium,Public military and junior-college model is not clearly comparable to ordinary elite secondary schools.,,queued
B03,Florida,FL,Ransom Everglades School,Coconut Grove,split_lineage,needs_source_review,in_frame_1800_1930,1903,medium,Current institution is a later merger using predecessor roots rather than a single continuous school.,,queued
B03,Georgia,GA,Westminster Schools,Atlanta,split_lineage,needs_source_review,in_frame_1800_1930,1873,medium,Current institution is a later merger using predecessor roots rather than a single continuous school.,,queued
