state,state_abbr,school,city,county_name,founding_year_used,roots_year,continuity_status,lineage_note,school_type,elite_signal,confidence,admission_model_current_prelim,access_model_current_prelim,access_model_historical_prelim,admissions_access_coding_status
Connecticut,CT,Miss Porter's School,Farmington,Hartford County,1843,1843,continuous,Continuous school from 1843,Private girls' boarding and day school,Canonical elite girls' boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Kansas,KS,Sumner Academy of Arts and Science,Kansas City,Wyandotte County,1905,1905,reorganized_continuity,Opened in 1905 as Manual Training High School / Sumner High School; reorganized in 1978 as the current selective academy,Public selective college-prep school,Historically important Black public academic high school and later selective academy,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Massachusetts,MA,Dana Hall School,Wellesley,Norfolk County,1881,1881,continuous,Continuous school from 1881,Private girls' boarding and day school,Historic elite girls' school tied to Wellesley,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Missouri,MO,Sumner High School,St. Louis,St. Louis city,1875,1875,continuous,Continuous school from 1875,Public high school,Historically important Black public academic high school,high,open_access_public,public_free_selective,public_free_selective,pending_second_pass
New York,NY,Emma Willard School,Troy,Rensselaer County,1814,1814,continuous,Continuous school from 1814,Private girls' boarding and day school,Historic elite girls' school and pioneer in women's education,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Virginia,VA,Foxcroft School,Middleburg,Loudoun County,1914,1914,continuous,Continuous school from 1914,Private girls' boarding and day school,Established elite Virginia girls' school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Massachusetts,MA,Boston Latin School,Boston,Suffolk County,1635,1635,continuous,Continuously operating since 1635; first public school in the United States.,Public selective high school,Founding US public school; canonical exam-admit academic high school.,high,exam_based,public_free_selective,public_free_selective,pending_second_pass
Massachusetts,MA,Roxbury Latin School,Boston,Suffolk County,1645,1645,continuous,Continuously operating since 1645; oldest US school in continuous existence at one location.,Private boys' day school,Long-standing elite New England boys' Latin school.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Massachusetts,MA,Phillips Academy,Andover,Essex County,1778,1778,continuous,Continuously operating since 1778.,Private boarding college-prep school,Canonical American boarding school; produced multiple presidents and Nobelists.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Hampshire,NH,Phillips Exeter Academy,Exeter,Rockingham County,1781,1781,continuous,Continuously operating since 1781.,Private boarding college-prep school,Canonical American boarding school; founded as a sister school to Phillips Andover.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Massachusetts,MA,Deerfield Academy,Deerfield,Franklin County,1797,1797,continuous,Continuously operating since 1797.,Private boarding college-prep school,Long-standing elite New England boarding school.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New York,NY,Trinity School,New York,New York County,1709,1709,continuous,Continuously operating since 1709; founded by Trinity Church.,Private day school,Long-standing elite Manhattan day school.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New York,NY,Collegiate School,New York,New York County,1628,1628,continuous,Continuously operating since 1628; oldest school in the United States.,Private boys' day school,Oldest continuously operating school in the US; Manhattan elite day school.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Connecticut,CT,Hopkins School,New Haven,New Haven County,1660,1660,continuous,Continuously operating since 1660.,Private day school,Long-standing elite Connecticut day school.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Jersey,NJ,Newark Academy,Livingston,Essex County,1774,1774,continuous,Continuously operating since 1774; relocated to Livingston in 1964.,Private day school,Historic New Jersey academy; long-standing elite institution.,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New York,NY,Bronx High School of Science,Bronx,Bronx County,1938,1938,continuous,Continuously operating since 1938.,Public selective high school,Specialized exam-admit New York City public high school; produced more Nobel laureates than any other US high school.,high,exam_based,public_free_selective,public_free_selective,pending_second_pass
District of Columbia,DC,Paul Laurence Dunbar High School,Washington,District of Columbia,1870,1870,reorganized_continuity,Roots as Preparatory High School for Colored Youth (1870); renamed M Street School (1891) and Dunbar (1916).,Public selective high school,First Black public academic high school in the US; produced many leading Black scholars and professionals.,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
New York,NY,Hunter College High School,New York,New York County,1869,1869,reorganized_continuity,Roots as Female Normal and High School (1869) attached to what became Hunter College; reorganized in the 20th century into the current selective Hunter College HS exam-admit model.,Public selective high school,Highly selective NYC public exam school attached to Hunter College.,high,exam_based,public_free_selective,public_free_selective,pending_second_pass
Ohio,OH,Walnut Hills High School,Cincinnati,Hamilton County,1895,1895,continuous,Continuously operating since 1895 as a college-preparatory exam-admit school.,Public selective high school,Cincinnati's college-preparatory public exam school.,high,exam_based,public_free_selective,public_free_selective,pending_second_pass
Georgia,GA,Booker T. Washington High School,Atlanta,Fulton County,1924,1924,continuous,Continuously operating since 1924; first Black public high school in Atlanta.,Public high school,First Black public high school in Atlanta; alma mater of Martin Luther King Jr. and many leading civil-rights leaders.,high,open_access_public,public_free_selective,public_free_selective,pending_second_pass
Tennessee,TN,Pearl High School,Nashville,Davidson County,1883,1883,reorganized_continuity,Roots as Meigs Colored School (1883); renamed Pearl High School in 1897; reorganized as Martin Luther King Jr. Magnet at Pearl in 1986.,Public high school,First Black public academic high school in Nashville; long-standing center of Black secondary education in Tennessee.,high,open_access_public,public_free_selective,public_free_selective,pending_second_pass
