batch_id,state,state_abbr,current_school_count,review_theme,review_priority,review_status,first_pass_issue,notes
B01,Connecticut,CT,4,Elite girls' academies and access coding,high,started_2026_04_30,Miss Porter's School missing from first pass,Confirmed addition staged; remaining task is admissions/access review.
B01,Massachusetts,MA,4,Elite girls' academies and scope boundaries,high,started_2026_04_30,Dana Hall missing and Boston Latin needs explicit frame boundary note,Confirmed addition staged; Boston Latin should remain a benchmark but outside the 1800-1930 entry frame.
B01,New York,NY,7,Elite girls' academies and local-access coding,high,started_2026_04_30,Emma Willard missing from first pass,Confirmed addition staged; later review should separate prestige from local accessibility.
B01,Virginia,VA,4,Elite girls' academies and Washington-area spillovers,medium,started_2026_04_30,Foxcroft missing from first pass,Confirmed addition staged; later review should assess whether county treatment is too coarse for Loudoun/Fairfax schools.
B02,Kansas,KS,0,Historically important Black public-access schools,high,started_2026_04_30,State had zero candidates despite Sumner Academy lineage,Confirmed addition staged; later review should consider whether Missouri and DC analogues imply more Kansas candidates.
B02,Missouri,MO,4,Historically important Black public-access schools and merger lineages,high,started_2026_04_30,Sumner High School added; MICDS lineage remains a merger-boundary problem,Direct source review completed for Sumner High; merger-root schools remain robustness-only.
B03,Illinois,IL,4,Special institutional models and false positives,medium,queued,University of Chicago Laboratory Schools may be too atypical for the main causal sample,Needs decision on whether to keep in the core sample or only in robustness checks.
B03,New Mexico,NM,1,Special institutional models and public-military access,medium,queued,New Mexico Military Institute is not comparable to ordinary local elite schools,Needs separate coding rule or exclusion flag.
B03,Florida,FL,1,Merger-root continuity and county treatment interpretation,medium,queued,Ransom Everglades lineage is a later merger using predecessor roots,Needs predecessor split or merger flag before core use.
B03,Georgia,GA,2,Merger-root continuity and county treatment interpretation,medium,queued,Westminster Schools lineage is a later merger using predecessor roots,Needs predecessor split or merger flag before core use.
